Time,Pitch (rad),Pitch Rate (rad/s),Velocity (m/s),Desired Velocity,Yaw (°)
4.814999999999943,0.18727644975969898,0.10666335009176536,0.0004137335142956333,0,50.76702399810553
4.815999999999943,0.1487493389246605,-0.10935766581143191,0.023692283909429457,0,50.796675611049
4.816999999999943,0.08663145214853203,-0.17186404858339943,0.046675289629483085,0,50.78684565982496
4.817999999999944,0.1033044650211983,0.06619418666177829,0.022843370832775767,0,50.7794964226879
4.818999999999944,0.15880520553950106,0.15635864905379793,-0.005960985647576744,0,50.799658982908326
4.819999999999944,0.12278650099648138,-0.11308524855952626,0.016765491837919533,0,50.82774172126053
4.820999999999945,0.06230528989114551,-0.16703684812078462,0.044125856471441405,0,50.82954101812242
4.821999999999945,0.07790814241258465,0.05471866985338064,0.02167673692569927,0,50.83533560812492
4.822999999999945,0.08617279946433,0.02409704366068538,0.016849963887843877,0,50.851377102419555
4.823999999999946,0.05157875634338395,-0.0957051923298738,0.03650760957780996,0,50.86015341376868
4.824999999999946,0.06448587166048224,0.040853294897639364,0.019857892758379236,0,50.855832495018156
4.825999999999946,0.10390000526718127,0.11127391071184242,0.010040849035303223,0,50.867612205365226
4.826999999999947,0.0705741401755503,-0.09371559371633253,0.031142825675511965,0,50.8990697042231
4.827999999999947,0.012535973278057807,-0.15936293973249743,0.05475532974261177,0,50.8902900142425
4.828999999999947,0.04088755608085861,0.07856352185994842,0.041431563951269124,0,50.87692768984826
4.829999999999948,0.13388692220167708,0.23630675184143737,0.033751181934466024,0,50.873052831133684
4.830999999999948,0.21150242355220286,0.2022305254325415,0.011460565536580702,0,50.909382893299885
4.831999999999948,0.21271387874275344,0.02169795656295495,0.01619077785132428,0,50.93136748962367
4.832999999999949,0.15522545222607148,-0.1493420775720985,0.03021354531458631,0,50.9482138836218
4.833999999999949,0.1343082416044453,-0.05279880127132043,0.04316750401313352,0,50.9253936436516
4.834999999999949,0.2068611923346102,0.17109347092019966,0.05303916055914015,0,50.885547824338765
4.83599999999995,0.35243934848349534,0.35733295026374773,0.06026205227298298,0,50.83405894625192
4.83699999999995,0.5409655411439542,0.4584156165057709,0.07166959520572835,0,50.78853826614009
4.83799999999995,0.731980605356348,0.4492107183618823,0.08207096967942362,0,50.78152231228753
4.838999999999951,0.949273170074014,0.6070707449425323,-0.03995100669235141,0,50.81078350166705
4.839999999999951,1.0858350726424897,0.3630704147390893,-0.01137501911403771,0,50.84503801488201
4.840999999999951,1.167289771985679,0.24096112517831794,-0.022167770153236344,0,50.865912995723974
4.841999999999952,1.1824105688380486,0.06755082486440733,-0.027584162881233443,0,50.88026925984866
4.842999999999952,1.111717034605934,-0.21076031125898836,0.004253134298110028,0,50.93168613338356
4.843999999999952,0.9661725615504219,-0.39412289823021146,0.029212741402065423,0,50.98502740631706
4.844999999999953,0.8206294304435767,-0.3744139702606477,0.042580294388305795,0,50.96916814500269
4.845999999999953,0.7414402090869818,-0.21348972162702087,0.035871695012720806,0,50.94424638492288
4.846999999999953,0.7458061761539999,0.04324556549712388,0.02133772336543327,0,50.92016864223803
4.847999999999954,0.817106684953699,0.21517235165501308,-0.00019205786688791804,0,50.91123413107542
4.848999999999954,0.8623971711955403,0.12006555446988303,-0.00028943877677933827,0,50.96422937786816
4.849999999999954,0.8157124558593718,-0.17171185991332025,0.027597551249078367,0,51.02954211672096
4.850999999999955,0.7114798781630794,-0.30742890238616316,0.027184011240466432,0,51.089090380395284
4.851999999999955,0.5728946414053834,-0.36028988894240943,0.037475277941206864,0,51.09565063006165
4.852999999999955,0.5071454199534627,-0.17226194730878117,0.03198704725926316,0,51.094269857430604
4.853999999999956,0.5109137411488724,0.00851210594381041,0.03728398454687365,0,51.08568886056594
4.854999999999956,0.5863003788523933,0.20916042771155202,0.0004358849951119348,0,51.09999252095571
4.855999999999956,0.5763021760469367,-0.036820133464323196,0.020828650911228208,0,51.121065021493365
4.856999999999957,0.5332119658871753,-0.11780996983148301,0.02785730390993113,0,51.143819270509155
4.857999999999957,0.49657050782093065,-0.10137720285457794,0.03622917636371403,0,51.1433257319344
4.858999999999957,0.5411335747643721,0.12955245925666667,0.005978153064328806,0,51.15203246954492
4.859999999999958,0.5289080193759068,-0.033728776451914744,0.014167887792307376,0,51.18565185850589
4.860999999999958,0.4463471134838294,-0.23174472811416275,0.03332661946801874,0,51.227664681773994
4.861999999999958,0.3557544033975447,-0.23570221650440518,0.04633665631977035,0,51.197452094230755
4.862999999999959,0.3558240155670752,0.01976918170920261,0.02541921792788282,0,51.16315598393169
4.863999999999959,0.4260530004925113,0.22013677942996732,0.015653476678326173,0,51.130875145785936
4.864999999999959,0.5266366811472958,0.28851558444793185,-0.02150054786424771,0,51.15394011523312
4.86599999999996,0.531793344548822,-0.01635792363517463,0.009986238219447663,0,51.190447977475756
4.86699999999996,0.473672030934583,-0.16700624921284607,0.009813776831069099,0,51.22067299390102
4.86799999999996,0.3937995881965025,-0.22065404641800915,0.04430863493064263,0,51.22729550688101
4.868999999999961,0.3979177853139151,0.01819135516656223,0.022428174042243842,0,51.23643447624602
4.869999999999961,0.3979392135573406,0.0021662103292494697,0.007962802706720784,0,51.261254258569934
4.870999999999961,0.3260688898952912,-0.19785977568271076,0.029727017919409238,0,51.29292294448626
4.871999999999962,0.2634295372287755,-0.1728169548020806,0.05367360252175879,0,51.262458797936105
4.872999999999962,0.300087017728105,0.1295307100639926,0.021182189930704642,0,51.23416330529231
4.873999999999962,0.3877303594187093,0.25263648181959597,0.0018363947355132249,0,51.225401291105
4.874999999999963,0.438026168449253,0.13241571017618223,-0.0004416248079036622,0,51.26177213237174
4.875999999999963,0.4024998399273873,-0.11454752579339827,0.01646016435319364,0,51.30045182982742
4.876999999999963,0.31694328517226145,-0.23464283036204348,0.032594469583910324,0,51.33517521143458
4.877999999999964,0.24362676216232265,-0.20013957774026528,0.053442822286378644,0,51.304758632604184
4.878999999999964,0.267465263229853,0.09166509191583072,0.024079086703682195,0,51.27489504840321
4.879999999999964,0.350023185489359,0.23827338757074856,0.01816442706296939,0,51.24925557819539
4.880999999999965,0.44760236076720394,0.26685574775767634,-0.01508623237252149,0,51.2907854557506
4.881999999999965,0.4392873513053001,-0.05378982447795755,0.01517951732751821,0,51.340126971568665
4.882999999999965,0.3726903929501621,-0.18652590412356385,0.010134939421660438,0,51.37938519298167
4.883999999999966,0.2765204012483838,-0.2619141500581228,0.04048237732426352,0,51.40146091756926
4.884999999999966,0.2359886235013638,-0.10816338837148459,0.028789355743366607,0,51.403475223444026
4.885999999999966,0.263884155190723,0.0773502973660709,0.012189271174120608,0,51.403029637531404
4.886999999999967,0.27957056804253927,0.044579508220680554,0.0008534980123209301,0,51.43491385530268
4.887999999999967,0.2154557965401506,-0.17982369513765806,0.01551907128266583,0,51.468750458230915
4.888999999999967,0.13798291632564547,-0.21127457325176874,0.04578294158170959,0,51.46721934722072
4.889999999999968,0.1500278954286581,0.03904621756548618,0.02863069436630228,0,51.4638690247674
4.890999999999968,0.20282408777529845,0.14593264480545076,-0.004693929334137481,0,51.47945287696891
4.891999999999968,0.17594268288573955,-0.07726383955979041,0.010538030943432752,0,51.49763469349952
4.892999999999969,0.12666180461418597,-0.13236309590911235,0.037054757160814855,0,51.48837794029636
4.893999999999969,0.16258285396413608,0.10399956014420533,0.023301083622362384,0,51.47686346881488
4.894999999999969,0.23408992898931366,0.19632544546530412,-0.016175420116906758,0,51.508582872266146
4.89599999999997,0.2182278866324132,-0.059182082074327846,0.005031458865059624,0,51.5441365474645
4.89699999999997,0.14015643894835222,-0.21267764347256754,0.008246135114950426,0,51.57805915422912
4.89799999999997,0.05619719573623478,-0.23034158961744552,0.05058781690937819,0,51.57597157413191
4.898999999999971,0.06806772226338051,0.036740689077940314,0.032338968024459014,0,51.57136663861274
4.899999999999971,0.13147162421528466,0.17460800930278075,-0.005662362190836379,0,51.5820188650989
4.900999999999971,0.11748957151592862,-0.04028742433523261,0.008628176448144398,0,51.59470568672233
