Time,Body Pitch (rad),Head Pitch (rad),Pitch Rate (rad/s),Velocity (m/s),Left Wheel Speed,Right Wheel Speed,Desired Velocity,Pitch Error,Yaw Rate Error
1.27899999999997,-2.658089280929458,1.258000458674454,5.393488525910128e-09,-1.793015855233726e-05,20.0,20.0,0.2,-2.568089280929458,-9.56142223060917e-05
1.2799999999999698,-2.6580890875306946,1.2580004586326803,6.256477567952599e-09,-1.7930829931955827e-05,20.0,20.0,0.2,-2.5680890875306948,-9.561443711911615e-05
1.2809999999999697,-2.658088894128086,1.2580004585853424,6.946822042846255e-09,-1.79314756931781e-05,20.0,20.0,0.2,-2.568088894128086,-9.561468335133508e-05
1.2819999999999696,-2.6580887007218257,1.2580004585333429,7.506879241381269e-09,-1.793209059020029e-05,20.0,20.0,0.2,-2.568088700721826,-9.561495995262841e-05
1.2829999999999695,-2.6580885073121996,1.2580004584780795,7.860858797705265e-09,-1.7932649226670705e-05,20.0,20.0,0.2,-2.5680885073121997,-9.561525691311316e-05
1.2839999999999694,-2.6580883138995883,1.2580004584208178,8.036218899314744e-09,-1.7933142554271697e-05,20.0,20.0,0.2,-2.5680883138995885,-9.561557021822309e-05
1.2849999999999693,-2.6580881204844347,1.2580004583629139,8.02130892612298e-09,-1.7933558610350175e-05,20.0,20.0,0.2,-2.568088120484435,-9.56158923634571e-05
1.2859999999999692,-2.6580879270672475,1.2580004583058322,7.802519024758221e-09,-1.7933884238763298e-05,20.0,20.0,0.2,-2.5680879270672476,-9.561621520328747e-05
1.286999999999969,-2.658087733648582,1.258000458250837,7.414164553902368e-09,-1.7934117357842894e-05,20.0,20.0,0.2,-2.568087733648582,-9.56165333433828e-05
1.287999999999969,-2.658087540229026,1.2580004581993955,6.82545126447985e-09,-1.793424539431321e-05,20.0,20.0,0.2,-2.568087540229026,-9.561683691682873e-05
1.2889999999999688,-2.658087346809184,1.2580004581525956,6.09743449618777e-09,-1.7934273843778215e-05,20.0,20.0,0.2,-2.5680873468091843,-9.561712214245028e-05
1.2899999999999687,-2.6580871533896526,1.2580004581115865,5.219887232842766e-09,-1.7934199125768657e-05,20.0,20.0,0.2,-2.5680871533896528,-9.561738078825657e-05
1.2909999999999686,-2.658086959971018,1.2580004580772757,4.230393544471576e-09,-1.7934026375066026e-05,20.0,20.0,0.2,-2.5680869599710183,-9.561760828570069e-05
1.2919999999999685,-2.6580867665538346,1.2580004580504893,3.1391908856160865e-09,-1.793375850600576e-05,20.0,20.0,0.2,-2.5680867665538347,-9.56177988537584e-05
1.2929999999999684,-2.6580865731386005,1.258000458031634,2.011083033787212e-09,-1.79334109506879e-05,20.0,20.0,0.2,-2.5680865731386007,-9.561795115415102e-05
1.2939999999999683,-2.658086379725742,1.258000458021056,8.511663682140433e-10,-1.7932991563940348e-05,20.0,20.0,0.2,-2.568086379725742,-9.561806094623149e-05
1.2949999999999682,-2.6580861863156375,1.25800045801901,-3.306545213641099e-10,-1.7932506923834524e-05,20.0,20.0,0.2,-2.5680861863156377,-9.561812545392399e-05
